Name:MohamedSaied
Date: 2020-07-3

IMAGE NO., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, KEYPOINTS ON VEHICLE, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHED KEYPOINTS, MATCHER ELAPSED TIME
7, FAST, FREAK, 1695, 150, 0.892488, 47.3557, 102, 0.787618
8, FAST, FREAK, 1749, 138, 1.27341, 47.3941, 101, 0.681842
9, FAST, FREAK, 1770, 143, 1.47819, 47.5574, 105, 0.673182

0, FAST, SIFT, 1824, 149, 1.24105, 26.1021, 0, 0
1, FAST, SIFT, 1832, 152, 0.944146, 26.2178, 118, 0.966197
2, FAST, SIFT, 1810, 150, 0.935951, 26.355, 123, 0.989157
3, FAST, SIFT, 1817, 155, 0.934279, 26.8277, 110, 0.975302
4, FAST, SIFT, 1793, 149, 0.827405, 33.9971, 119, 0.95878
5, FAST, SIFT, 1796, 149, 0.908816, 27.6816, 114, 1.03312
6, FAST, SIFT, 1788, 156, 0.912343, 26.6472, 119, 1.00773
7, FAST, SIFT, 1695, 150, 0.915039, 26.3259, 123, 0.978747
8, FAST, SIFT, 1749, 138, 1.11203, 25.2361, 117, 0.905833
9, FAST, SIFT, 1770, 143, 0.912223, 27.6742, 103, 0.876169

0, BRISK, BRISK, 2757, 264, 56.6197, 3.40728, 0, 0
1, BRISK, BRISK, 2777, 282, 48.9274, 3.50602, 171, 2.20609
2, BRISK, BRISK, 2741, 282, 47.5538, 3.49812, 176, 2.35424
3, BRISK, BRISK, 2735, 277, 48.0948, 5.3459, 157, 3.13799
4, BRISK, BRISK, 2757, 297, 48.4631, 11.2536, 176, 3.15096
5, BRISK, BRISK, 2695, 279, 47.8508, 3.6773, 174, 2.4161
6, BRISK, BRISK, 2715, 289, 149.265, 3.60844, 188, 2.6047
7, BRISK, BRISK, 2628, 272, 45.8546, 3.40373, 173, 2.49027
8, BRISK, BRISK, 2639, 266, 47.7847, 3.4012, 171, 2.29804
9, BRISK, BRISK, 2672, 254, 46.8788, 3.23053, 184, 1.98466

0, BRISK, BRIEF, 2757, 264, 48.6836, 1.18071, 0, 0
1, BRISK, BRIEF, 2777, 282, 47.6211, 1.16464, 178, 2.09591
2, BRISK, BRIEF, 2741, 282, 52.9277, 1.18426, 205, 2.26639
3, BRISK, BRIEF, 2735, 277, 50.9615, 1.19332, 185, 2.15309
4, BRISK, BRIEF, 2757, 297, 47.1749, 1.20603, 179, 2.28634
5, BRISK, BRIEF, 2695, 279, 85.435, 2.25395, 183, 2.28666
6, BRISK, BRIEF, 2715, 289, 59.6583, 1.1897, 195, 2.70981
7, BRISK, BRIEF, 2628, 272, 50.4313, 1.13048, 207, 2.19905
8, BRISK, BRIEF, 2639, 266, 46.5448, 1.12876, 189, 2.00292
9, BRISK, BRIEF, 2672, 254, 46.9475, 1.08347, 183, 1.91003

0, BRISK, ORB, 2757, 264, 49.921, 4.74238, 0, 0
1, BRISK, ORB, 2777, 282, 49.2032, 4.98363, 162, 2.11349
2, BRISK, ORB, 2741, 282, 49.3315, 4.92059, 175, 2.2963
3, BRISK, ORB, 2735, 277, 48.1577, 4.8636, 158, 2.18803
4, BRISK, ORB, 2757, 297, 47.6068, 4.90752, 167, 2.26025
5, BRISK, ORB, 2695, 279, 47.1558, 4.77641, 160, 2.29085
6, BRISK, ORB, 2715, 289, 47.2198, 4.98943, 182, 2.27432
7, BRISK, ORB, 2628, 272, 49.26, 5.61936, 167, 2.16976
8, BRISK, ORB, 2639, 266, 46.554, 4.86987, 171, 2.06436
9, BRISK, ORB, 2672, 254, 47.2144, 4.86886, 172, 1.87537

0, BRISK, FREAK, 2757, 264, 47.8819, 54.5123, 0, 0
1, BRISK, FREAK, 2777, 282, 49.126, 52.871, 160, 1.85215
2, BRISK, FREAK, 2741, 282, 47.8329, 51.0879, 177, 1.94477
3, BRISK, FREAK, 2735, 277, 47.9668, 53.414, 155, 1.98384
4, BRISK, FREAK, 2757, 297, 47.5932, 50.4789, 173, 2.11701
5, BRISK, FREAK, 2695, 279, 47.8669, 52.3339, 161, 2.12002
6, BRISK, FREAK, 2715, 289, 47.4358, 51.3361, 183, 2.03157
7, BRISK, FREAK, 2628, 272, 46.7101, 53.81, 169, 1.93541
8, BRISK, FREAK, 2639, 266, 48.7157, 51.3963, 178, 1.83361
9, BRISK, FREAK, 2672, 254, 47.8731, 50.7172, 168, 1.67637

0, BRISK, SIFT, 2757, 264, 49.1712, 70.1133, 0, 0
1, BRISK, SIFT, 2777, 282, 50.5732, 73.1538, 182, 3.06546
2, BRISK, SIFT, 2741, 282, 52.4733, 74.9475, 193, 3.55617
3, BRISK, SIFT, 2735, 277, 48.0777, 69.1969, 169, 2.77223
4, BRISK, SIFT, 2757, 297, 47.2375, 68.2135, 183, 2.91056
5, BRISK, SIFT, 2695, 279, 47.6824, 65.5067, 171, 2.92984
6, BRISK, SIFT, 2715, 289, 49.1507, 67.8393, 195, 2.88803
7, BRISK, SIFT, 2628, 272, 46.4328, 65.6326, 194, 2.82802
8, BRISK, SIFT, 2639, 266, 46.4792, 72.8857, 176, 2.65
9, BRISK, SIFT, 2672, 254, 47.4275, 62.4946, 183, 2.44948

0, ORB, BRISK, 500, 92, 16.2755, 1.36388, 0, 0
1, ORB, BRISK, 500, 102, 9.77495, 1.4859, 73, 0.357752
2, ORB, BRISK, 500, 106, 9.40663, 1.46071, 74, 0.404892
3, ORB, BRISK, 500, 113, 8.65908, 1.61225, 79, 0.41605
4, ORB, BRISK, 500, 109, 9.39818, 1.60998, 85, 0.450249
5, ORB, BRISK, 500, 125, 8.77195, 1.72649, 79, 0.487182
6, ORB, BRISK, 500, 130, 9.47843, 1.78423, 92, 0.547391
7, ORB, BRISK, 500, 129, 9.45023, 1.79581, 90, 0.53451
8, ORB, BRISK, 500, 127, 9.56541, 1.97158, 88, 0.58934
9, ORB, BRISK, 500, 128, 10.5355, 1.79823, 91, 0.556212

0, ORB, BRIEF, 500, 92, 9.86084, 0.686479, 0, 0
1, ORB, BRIEF, 500, 102, 9.96024, 0.665054, 49, 0.351654
2, ORB, BRIEF, 500, 106, 7.80081, 0.644964, 43, 0.392178
3, ORB, BRIEF, 500, 113, 7.74384, 0.63388, 45, 0.414534
4, ORB, BRIEF, 500, 109, 7.74189, 0.718593, 59, 0.604312
5, ORB, BRIEF, 500, 125, 7.9585, 0.712569, 53, 0.487768
6, ORB, BRIEF, 500, 130, 9.04999, 0.724048, 78, 0.528854
7, ORB, BRIEF, 500, 129, 7.79405, 0.788017, 68, 0.545315
8, ORB, BRIEF, 500, 127, 8.76046, 0.723389, 84, 0.548146
9, ORB, BRIEF, 500, 128, 7.83316, 0.696696, 66, 0.519613

0, ORB, ORB, 500, 92, 7.71138, 4.86403, 0, 0
1, ORB, ORB, 500, 102, 8.81709, 4.90904, 67, 0.406893
2, ORB, ORB, 500, 106, 7.70045, 4.9117, 70, 0.607692
3, ORB, ORB, 500, 113, 7.67395, 4.8925, 72, 0.499536
4, ORB, ORB, 500, 109, 8.65532, 4.98443, 84, 0.493348
5, ORB, ORB, 500, 125, 7.65218, 5.89822, 91, 0.506894
6, ORB, ORB, 500, 130, 7.84567, 4.92473, 101, 0.584961
7, ORB, ORB, 500, 129, 7.92903, 5.02295, 92, 0.611217
8, ORB, ORB, 500, 127, 9.1113, 4.93638, 93, 0.581928
9, ORB, ORB, 500, 128, 7.80663, 5.48984, 93, 0.913991

0, ORB, FREAK, 500, 92, 7.73861, 50.3965, 0, 0
1, ORB, FREAK, 500, 102, 9.61548, 49.848, 42, 0.18416
2, ORB, FREAK, 500, 106, 8.49959, 47.7602, 36, 0.215179
3, ORB, FREAK, 500, 113, 8.57662, 48.0973, 44, 0.234647
4, ORB, FREAK, 500, 109, 8.35024, 49.1525, 47, 0.215763
5, ORB, FREAK, 500, 125, 8.62573, 48.7334, 44, 0.215238
6, ORB, FREAK, 500, 130, 8.5216, 47.2244, 51, 0.237197
7, ORB, FREAK, 500, 129, 8.39791, 48.2801, 52, 0.24698
8, ORB, FREAK, 500, 127, 9.54773, 47.8969, 48, 0.270275
9, ORB, FREAK, 500, 128, 9.60854, 47.5458, 56, 0.277069

